episode,step,episode_reward,epsilon,x_position,y_position
1,1,0.55,0,54,12,593.0
1,2,2.9000000000000004,0,53,13,574.0
1,3,3.45,0,52,13,567.0
1,4,3.1,0,51,12,566.0
1,5,6.050000000000001,0,50,13,543.0
1,6,6.300000000000001,0,49,12,538.0
1,7,8.8,0,48,11,518.0
1,8,9.5,0,47,10,510.0
1,9,12.45,0,46,9,487.0
1,10,13.299999999999999,0,45,8,478.0
1,11,14.6,0,44,7,466.0
1,12,16.8,0,43,6,448.0
1,13,18.55,0,42,5,433.0
1,14,19.25,0,41,4,425.0
1,15,21.75,0,40,3,405.0
1,16,22.3,0,39,2,398.0
1,17,24.05,0,38,3,383.0
1,18,24.0,0,37,2,380.0
1,19,25.45,0,36,3,367.0
1,20,25.7,0,35,2,362.0
1,21,26.4,0,34,1,354.0
1,22,28.45,0,33,2,337.0
1,23,29.599999999999998,0,32,2,326.0
1,24,28.65,0,31,1,329.0
1,25,31.45,0,30,2,307.0
1,26,31.849999999999998,0,29,3,301.0
1,27,34.199999999999996,0,28,3,282.0
1,28,34.449999999999996,0,27,2,277.0
1,29,34.99999999999999,0,26,2,270.0
1,30,35.39999999999999,0,25,2,264.0
1,31,37.599999999999994,0,24,3,246.0
1,32,39.8,0,23,4,228.0
1,33,40.349999999999994,0,22,4,221.0
1,34,41.199999999999996,0,21,5,212.0
1,35,44.15,0,20,6,189.0
1,36,45.3,0,19,7,178.0
1,37,46.75,0,18,8,165.0
1,38,48.65,0,17,9,149.0
1,39,49.8,0,16,10,138.0
1,40,52.3,0,15,11,118.0
1,41,51.8,0,14,11,118.0
1,42,51.9,0,13,11,114.0
1,43,53.5,0,12,12,100.0
1,44,53.9,0,11,12,94.0
1,45,54.6,0,11,13,86.0
1,46,55.75,0,11,14,75.0
1,47,55.7,0,12,15,72.0
1,48,56.550000000000004,0,11,16,63.0
1,49,58.00000000000001,0,10,17,50.0
1,50,59.75000000000001,0,9,18,35.0
1,51,60.150000000000006,0,8,17,29.0
1,52,61.150000000000006,0,7,18,19.0
2,1,0.55,0,54,12,593.0
